Architecture,Workload,Cores,Concurrent Users,Throughput (Req/s)_mean,Throughput (Req/s)_std,Response Time (ms)_mean,Response Time (ms)_std,CPU Utilization (%)_mean,CPU Utilization (%)_std
Apache,Dynamic,1,50,4.668023454201693,0.2718500651970878,10289.532106571602,521.7499229278528,99.27218915343914,0.979976374022913
Apache,Dynamic,1,100,4.810645297129133,3.0059165223164577,21556.844236999314,1694.50626967527,99.53099206349205,0.4550471556137895
Apache,Dynamic,1,200,2.0480779657653705,0.4063733898646366,45869.06644424867,6034.379420154766,99.71669047619046,0.10999955335578737
Apache,Dynamic,2,50,9.77549294777249,0.2139752366649788,4943.292362696567,93.25630531975843,96.70343192391898,2.6068059213518286
Apache,Dynamic,2,100,9.667277816519062,3.8796188166826995,10336.269207254949,359.4373984782799,99.6019537037037,0.8121494733931619
Apache,Dynamic,2,200,7.623301363442907,3.186500424357322,18057.365948080504,1153.628615757394,99.8383287037037,0.08334723593764157
Apache,Dynamic,3,50,14.569431810823009,0.16294040460888376,3323.2572054027537,21.188687236088235,97.95949647266313,1.8793096795255895
Apache,Dynamic,3,100,12.837205569568297,2.20424381507289,6841.645165671248,104.60200613814038,99.65020943562611,0.7917126562941885
Apache,Dynamic,3,200,13.70521731569021,4.784038990423436,11078.06668366837,358.31987730192645,99.86555952380952,0.10037276281688101
Apache,Dynamic,4,50,18.615419067298486,2.116864913641858,2543.282745667002,15.658715795456981,97.92800793650794,1.55166903938936
Apache,Dynamic,4,100,20.274767944955773,8.041792654979902,5111.2798798013755,30.301218868298356,99.77455257936506,0.3133840867927478
Apache,Dynamic,4,200,19.043535481094114,6.621491986135803,8122.328545160386,180.72666094537072,99.91902380952381,0.0308132997827231
Apache,Static,1,50,3443.0033463346176,400.1974220799366,10.022044319235244,0.11084287099432769,13.17082142857143,0.1684782539444015
Apache,Static,1,100,4192.167680193565,1438.0965927492923,18.856073116234057,0.1837220321256509,14.01957142857143,0.11840921683038681
Apache,Static,1,200,3469.566353498227,407.1759237043192,32.1279615329983,0.26045679851198006,14.493714285714287,0.16039758920044747
Apache,Static,2,50,4066.6226336128393,1404.1442927517771,9.882275103963698,0.10924951066156374,9.896714285714285,0.1070298411881562
Apache,Static,2,100,4144.748510477109,1415.6796367061309,19.04082257797482,0.13075669873107787,11.011589285714285,0.19983492071135742
Apache,Static,2,200,3576.8202813780103,17.996153402407053,32.25555956000552,0.31784783334882316,11.108571428571427,0.15851562635332164
Apache,Static,3,50,4031.7783538367826,1392.1438196925428,9.958297564216327,0.07775362137611454,6.783607142857143,0.0954410214092936
Apache,Static,3,100,4007.2902608478407,1526.5036625300227,19.05541376672705,0.13957552423774372,7.826845238095238,0.04618056301467934
Apache,Static,3,200,3419.3101739292397,399.9848602584237,32.31407316231294,0.412782107032661,8.119535714285714,0.06704718149546059
Apache,Static,4,50,3449.495922766896,404.38065219815354,10.000980141487446,0.0620529930932095,5.182133928571428,0.08026983186563988
Apache,Static,4,100,3540.013934507526,419.2494600351966,19.14796278296748,0.214150984626744,6.0011868386243385,0.12309161668418905
Apache,Static,4,200,3954.251844048316,1369.1468689723604,32.5300102941382,0.48022011895057654,6.157232142857143,0.045642983673471256
Node,Dynamic,1,50,25.326463802340903,9.034953561164926,2183.2620496601776,3.9103031395600683,98.82014285714286,0.9994604298288425
Node,Dynamic,1,100,21.032474064469437,2.5001510917364147,2294.4876978597954,7.051458338147324,99.96685714285715,0.12497559852529383
Node,Dynamic,1,200,25.61219964203657,11.680463361591942,2384.591958677384,34.47340652220153,99.95610714285714,0.0894808106589857
Node,Dynamic,2,50,25.363199211046176,9.00694274734236,2177.644337568928,2.5404567013462827,48.973864285714285,2.3266828395681793
Node,Dynamic,2,100,21.128835284586007,2.50918035061279,2286.3683364479416,10.17443116977733,49.99946428571428,0.028915340889836737
Node,Dynamic,2,200,22.132609657922735,8.593925438781314,2378.4877416937447,32.449706244269855,49.98769576719576,0.024964009254716424
Node,Dynamic,3,50,21.744080407712584,2.551747071619593,2175.7524640107195,4.712414424971528,33.01253571428571,0.41328732801936474
Node,Dynamic,3,100,21.147616323290357,2.509754992153011,2284.347990193392,9.676706642837194,33.321440476190475,0.012556680512683238
Node,Dynamic,3,200,22.847066276650242,7.947060567340426,2376.5624596015446,31.0402066156402,33.329345238095236,0.014258268388383831
Node,Dynamic,4,50,21.721670315137636,2.5466700556603343,2177.0828109749505,3.2117893585780037,24.75036607142857,0.26993137503033077
Node,Dynamic,4,100,21.924224813504196,0.21963278263951538,2284.9929826031753,9.147203278604227,24.99144642857143,0.02262702710128191
Node,Dynamic,4,200,22.846072291536323,7.938890848034687,2376.2514610361495,30.36466359896784,25.00058035714286,0.011874310010984023
Node,Static,1,50,3793.372396528261,440.78433785741936,8.921466125142462,0.11244800912623722,8.590464285714287,0.23434027444941033
Node,Static,1,100,3944.4296656394317,465.9892738747079,17.172227722212565,0.10162526705868158,9.190892857142856,0.31851480251594083
Node,Static,1,200,4285.533502036937,1644.6664662866967,17.936660280151347,0.08749882268221278,9.573464285714286,0.1149324520638752
Node,Static,2,50,3784.145892429506,436.92655914065796,8.946805706454745,0.11750977719907733,4.306821428571429,0.07592531052144473
Node,Static,2,100,4074.636788214522,17.020853141898787,17.18259394681018,0.10621711560427992,4.6401071428571425,0.1947102184298441
Node,Static,2,200,3803.4395494865685,446.1629324352759,17.85582217262376,0.11384177979123435,4.816660714285715,0.06794976187514463
Node,Static,3,50,3777.1634150696505,441.8750228465547,8.974837694091532,0.07344803473158208,2.7554166666666666,0.08128286590354443
Node,Static,3,100,4562.456044814467,1588.9585067090889,17.256328317336205,0.13449002691799986,3.097297619047619,0.12142400720232101
Node,Static,3,200,3794.05208540486,445.18543130525876,17.959651433903552,0.07373172765152489,3.1887976190476186,0.05887908643226377
Node,Static,4,50,4400.375088532948,1530.5877081014553,8.992138260150004,0.051234550068793155,2.084375,0.05831118991766936
Node,Static,4,100,4083.9452819288135,23.824675220942623,17.16120085227024,0.11197147488049156,2.2626160714285715,0.08569572436676685
Node,Static,4,200,3928.307334579614,19.6045078808057,18.011355896869667,0.06559161470229175,2.3862232142857143,0.019021468749398925
