CPU_Percentage
99.91
99.92
99.71
99.83
100.23
99.87
100.15
99.79
99.78
99.75
99.91
99.83
100.31
99.74
100.11
100.10
99.66
99.66
99.78
100.22
100.27
99.79
100.31
99.78
100.14
100.19
99.79
100.44
