CPU_Percentage
0.42
25.07
26.92
25.98
25.82
26.29
26.65
26.21
26.37
25.67
26.09
26.55
26.13
26.89
26.80
26.94
26.33
27.05
26.53
26.61
26.94
26.03
26.00
26.38
26.54
26.14
27.10
2.43
