Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,237640,0,17,17.783983593978256,4.58984299984877,681.2970070022857,24.0,3965.174385827343,0.0,17,19,20,21,22,25,29,31,51,680,680
,Aggregated,237640,0,17,17.783983593978256,4.58984299984877,681.2970070022857,24.0,3965.174385827343,0.0,17,19,20,21,22,25,29,31,51,680,680
