CPU_Percentage
65.98
99.91
100.13
99.83
100.01
100.19
99.83
100.14
99.84
99.70
100.06
99.99
100.13
99.83
99.79
100.17
100.19
99.85
99.79
99.79
99.85
100.11
100.18
99.79
99.98
99.83
100.18
99.87
