CPU_Percentage
0.00
9.73
9.37
9.69
9.56
9.56
9.12
9.12
9.55
9.67
9.36
9.43
8.53
9.22
9.26
9.29
9.05
9.47
9.49
9.39
9.27
22.88
10.49
10.18
10.54
10.38
10.32
8.91
