CPU_Percentage
197.91
200.21
200.12
200.30
199.57
200.03
200.12
199.46
200.29
200.37
200.10
199.57
199.56
200.23
199.89
200.11
199.41
200.37
200.53
199.16
200.21
199.60
199.63
199.64
200.27
200.29
199.83
