CPU_Percentage
6.69
24.01
24.11
22.28
23.58
23.91
23.19
23.24
23.06
23.41
23.48
23.45
22.73
23.61
23.50
23.09
23.57
22.99
23.48
22.59
23.27
23.02
23.16
23.83
24.43
23.95
24.23
2.10
