CPU_Percentage
1.83
9.41
10.15
8.90
8.92
9.40
9.40
9.71
9.13
9.48
9.32
9.53
9.33
9.31
9.29
8.80
9.21
9.24
9.02
9.17
9.37
8.97
8.99
9.48
9.36
9.32
9.09
0.49
