CPU_Percentage
349.65
400.42
399.08
400.08
399.49
398.99
398.32
400.46
398.98
399.48
399.32
399.14
401.08
400.51
400.26
400.75
400.58
400.58
400.59
399.15
401.09
400.41
398.95
400.42
398.66
400.32
398.81
397.17
