CPU_Percentage
4.39
22.09
23.09
21.82
21.70
21.96
21.90
22.53
21.50
21.74
21.33
22.30
21.45
21.40
21.49
21.70
21.77
21.56
22.23
21.89
22.42
21.56
21.36
21.50
21.45
21.84
21.05
1.05
