CPU_Percentage
295.49
299.49
299.49
300.19
300.57
299.10
300.30
300.45
300.56
300.31
299.60
300.15
299.36
300.56
299.50
299.37
300.69
298.99
299.73
300.51
300.56
299.24
300.43
299.47
300.07
300.44
299.24
294.78
