Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fibonacci.php,1143,0,1900,2555.543189433093,197.81250399682904,4040.6186689942842,21.0,19.37176976312768,0.0,1900,3900,3900,3900,3900,4000,4000,4000,4000,4000,4000
,Aggregated,1143,0,1900,2555.543189433093,197.81250399682904,4040.6186689942842,21.0,19.37176976312768,0.0,1900,3900,3900,3900,3900,4000,4000,4000,4000,4000,4000
