Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fibonacci.php,1134,0,3100,2553.0394370062454,198.67170799989253,3404.3694409992895,21.0,19.160335397543726,0.0,3100,3100,3200,3300,3300,3300,3300,3400,3400,3400,3400
,Aggregated,1134,0,3100,2553.0394370062454,198.67170799989253,3404.3694409992895,21.0,19.160335397543726,0.0,3100,3100,3200,3300,3300,3300,3300,3400,3400,3400,3400
