CPU_Percentage
0.18
9.47
9.82
9.65
9.86
9.73
9.66
9.42
9.56
9.50
9.56
9.70
9.66
9.58
9.73
9.31
9.70
9.52
9.50
9.34
21.60
10.99
10.33
10.40
9.92
10.19
10.57
0.00
