CPU_Percentage
3.89
25.13
25.07
25.91
24.99
24.74
24.79
24.74
24.55
25.20
25.24
25.32
25.59
25.62
25.34
25.64
25.23
25.65
25.06
25.13
25.14
25.81
26.13
25.10
25.53
25.19
24.68
1.65
