CPU_Percentage
2.49
10.06
9.90
10.11
9.67
9.92
10.18
10.24
10.10
10.55
10.31
10.40
10.14
10.45
10.50
9.86
10.48
10.27
10.46
10.02
10.38
9.99
10.14
9.98
10.04
10.16
9.63
1.44
