CPU_Percentage
0.00
10.35
10.55
9.87
10.21
10.35
10.30
10.11
10.04
10.22
9.95
9.88
10.24
10.12
10.40
10.37
10.61
9.93
10.01
10.23
10.10
9.86
10.10
10.48
10.23
10.42
9.96
0.52
