CPU_Percentage
99.79
99.83
99.88
100.15
100.27
100.26
99.83
99.66
99.74
99.87
100.19
100.06
99.75
99.75
99.66
100.19
100.06
99.83
99.83
99.95
100.15
99.79
99.91
99.75
100.06
99.63
99.71
99.91
