Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fibonacci,1330,0,1700,2180.2175410353857,63.34641500143334,52875.06368200047,21.0,22.479116331510927,0.0,1700,1900,2100,2100,2200,2200,11000,28000,51000,53000,53000
,Aggregated,1330,0,1700,2180.2175410353857,63.34641500143334,52875.06368200047,21.0,22.479116331510927,0.0,1700,1900,2100,2100,2200,2200,11000,28000,51000,53000,53000
