CPU_Percentage
0.41
21.09
21.08
21.07
21.70
20.61
20.44
20.88
21.52
21.64
21.17
20.90
21.21
21.18
21.15
21.52
20.45
21.67
21.48
21.25
21.35
21.33
20.97
21.00
21.42
20.88
21.96
0.49
