CPU_Percentage
0.36
14.39
15.39
15.60
15.71
15.60
15.43
15.50
15.25
15.46
15.59
15.81
15.56
15.57
15.60
15.29
15.40
15.61
15.97
15.33
15.60
15.43
15.78
15.51
15.25
15.33
15.35
5.48
