CPU_Percentage
3.11
9.39
9.49
9.39
9.62
9.21
9.35
9.36
9.59
9.58
9.52
9.52
9.50
9.43
9.42
9.67
9.13
9.50
9.19
9.18
9.52
9.40
9.59
9.34
9.48
9.37
9.88
0.03
